,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
11,Mộ Đức,19.2,35.0,2018,4/2019,"14°57′52″B 108°55′42″Đ﻿ / ﻿14,96457°B 108,92823°Đ",xã Đức Minh huyện Mộ Đức,Quảng Ngãi [4]
12,Cát Hiệp,49.5,75.0,3/2018,5/2019,"14°01′09″B 109°00′59″Đ﻿ / ﻿14,01913°B 109,01638°Đ",xã Cát Hiệp huyện Phù Cát,Bình Định [5]
13,Đầm Trà Ổ,50.0,78.0,1/2019,12/2020,"14°17′40″B 109°07′22″Đ﻿ / ﻿14,29444°B 109,1227°Đ","xã Mỹ Lợi, huyện Phù Mỹ",Bình Định
14,Sê San 4,49.0,724.0,12/2019,11/2020,"13°58′20″B 107°29′17″Đ﻿ / ﻿13,97227°B 107,48801°Đ","xã Ia Tơi, huyện Ia H'Drai",Kon Tum [6]
15,Fujiwara Bình Định,50.0,,6/2018,2/2019,"13°46′53″B 109°15′48″Đ﻿ / ﻿13,78141°B 109,26321°Đ",Khu kinh tế Nhơn Hội thành phố Quy Nhơn,Bình Định [7]
16,Mỹ Hiệp,50.0,82.0,,12/2020,"14°07′11″B 109°00′44″Đ﻿ / ﻿14,11963°B 109,01234°Đ","xã Mỹ Hiệp, huyện Phù Mỹ",Bình Định [8]
17,Phù Mỹ,216.0,,5/2020,12/2020,"14°18′13″B 109°09′32″Đ﻿ / ﻿14,30351°B 109,15901°Đ","xã Mỹ An và Mỹ Thắng, huyện Phù Mỹ",Bình Định
18,Krông Pa 2,49.0,103.0,2018,12/2018,"13°14′05″B 108°39′00″Đ﻿ / ﻿13,23471°B 108,64995°Đ",xã Chư Gu huyện Krông Pa,Gia Lai [9]
19,LIG Chư Ngọc,15.0,,2/2019,5/2019,"13°14′42″B 108°38′16″Đ﻿ / ﻿13,24507°B 108,63769°Đ",xã Chư Ngọc huyện Krông Pa,Gia Lai [10]
20,TTC Krông Pa,49.0,103.0,8/2018,12/2018,"13°13′36″B 108°39′19″Đ﻿ / ﻿13,2266°B 108,65539°Đ",xã Chư Gu huyện Krông Pa,Gia Lai [11]
21,Europlast Phú Yên,44.7,,2018,6/2019,"12°58′02″B 109°05′47″Đ﻿ / ﻿12,96734°B 109,09641°Đ","xã Sơn Thành Đông, huyện Tây Hòa",Phú Yên
22,Hòa Hội,214.0,334.0,2018,6/2019,"13°05′15″B 109°08′17″Đ﻿ / ﻿13,08753°B 109,13818°Đ",xã Hòa Hội huyện Phú Hòa,Phú Yên
23,Thành Long Phú Yên,50.0,,,12/2020,"13°00′12″B 109°05′28″Đ﻿ / ﻿13,00324°B 109,09102°Đ","xã Sơn Thành Đông, huyện Tây Hòa",Phú Yên [12]
24,Thịnh Long AAA Phú Yên,50.0,,2018,9/2019,"12°58′08″B 109°05′41″Đ﻿ / ﻿12,96901°B 109,0947°Đ",xã Sơn Thành Đông huyện Tây Hòa,Phú Yên
25,Xuân Thọ 1,45.9,76.0,2019,6/2019,"13°24′50″B 109°09′45″Đ﻿ / ﻿13,41384°B 109,16247°Đ",xã Xuân Thọ 1 thị xã Sông Cầu,Phú Yên
26,Xuân Thọ 2,45.9,76.0,2019,6/2019,"13°22′37″B 109°10′39″Đ﻿ / ﻿13,37685°B 109,17754°Đ",xã Xuân Thọ 2 thị xã Sông Cầu,Phú Yên
27,BMT Đắk Lắk,30.0,44.0,8/2018,4/2019,"12°46′42″B 108°22′07″Đ﻿ / ﻿12,77847°B 108,36862°Đ",xã Ea Phê và Krông Búk huyện Krông Pắc,Đăk Lăk [13]
28,Buôn Mê Thuột,30.0,,2018,5/2019,,,Đăk Lăk
29,Ia Lốp 1,50.0,,2018,2019,"13°21′09″B 107°41′42″Đ﻿ / ﻿13,35244°B 107,69502°Đ",xã Ia Lốp huyện Ea Súp,Đăk Lăk
30,Jang Pong GĐ1,8.6,175.0,9/2018,5/2019,"12°54′14″B 107°49′27″Đ﻿ / ﻿12,90392°B 107,82408°Đ","xã Ea Huar, huyện Buôn Đôn",Đăk Lăk
